country,ISO 3 country code,ISO 2 country code,country full name,currency,capital city,region,continent,demonym,latitude,longitude,agricultural land,forest area,land area,rural land area,urban land area,central government debt,expense,MillionGDP,GDP,inflation,self-employed workers,tax revenue,unemployment,vulnerable employment,access to electricity,alternative and nuclear energy,electricity production from coal sources,electricity production from hydroelectric sources,electricity production from natural gas sources,electricity production from nuclear sources,electricity production from oil sources,"electricity production from renewable sources, excluding hydroelectric",net energy imports,fossil fuel energy consumption,renewable energy consumption,carbon dioxide emissions (CO2),methane emissions,nitrous oxide emissions,"other greenhouse gas emissions, HFC, PFC and SF6",urban population living in areas where elevation is below 5 meters ,health expenditure,health expenditure per capita,hospital beds,incidence of HIV,suicidemortalityrate,armed forces personnel,"internally displaced persons, by conflict and violence",military expenditure,birth rate,death rate,fertility rate,individuals using the Internet,life expectancy at birth,net migration,female population,male population,population,proportion of seats held by women in national parliaments,rural population,urban population,press freedom,democracy score,democracy type,median age,political leader,title of the political leader
Guinea,GIN,GN,Republic of Guinea,Guinean franc,Conakry,Western Africa,Africa,Guinean,11,-10,146380,61490,245720,244205.7532,1390.663579,,6.469526769,23612.29582,23612295818,7.804975919,81.84914077,7.43568715,5.297,79.20484298,47.7,,,,,,,,,,66.6,4537.9,16813.30155,6822.434916,1868.201569,1.469063061,3.75556707,44.68689728,0.3,0.43,7,13000,,2.037157619,33.855,9.87,4.303,34.68012393,59,-4000,7167023,7023590,14190612,29.62962963,8786117,5404495,2.34,3.14,Authoritarian,14.1,Alpha Condé,President
Albania,ALB,AL,Republic of Albania,Albanian lek,Tirana,Southern Europe,Europe,Albanian,41,20,11363.3,7889,27400,27331.60161,827.6939565,82.38361129,24.53633312,22977.67786,22977677861,6.725202715,52.82272284,18.19858944,11.584,49.81203363,100,24.54805021,0,100,0,0,0,0,13.7979709,61.42180139,41.9,4383.2,2692.195886,1015.186729,11.68135953,6.367258895,7.26731825,464.7428589,2.89,0.02,4.3,8000,,1.584880924,10.116,11.194,1.376,82.61368583,77,-8000,1378159,1367813,2745972,35.71428571,971992,1773980,2.62,5.98,Hybrid regime,33.9,Edi Rama,Prime Minister
Yemen,YEM,YE,Republic of Yemen,Yemeni rial,Sana'a,Western Asia,Asia,Yemeni,15,48,234520,5490,527970,452881.3089,1795.363296,,,21606.16066,21606160663,8.104725836,54.47761289,,17.215,47.8055007,76,0,0,0,39.80473151,0,60.19526849,0,-120.629674,98.48850274,3.7,9960.1,10542.15376,3364.858401,-14417.98999,1.009960207,4.25285673,63.30020905,0.71,0.03,5.8,40000,4516000,3.966891088,29.919,6.824,3.716,26.71835477,64,-29914,17053363,17396462,34449825,0,20728115,13721710,1.27,1.95,Authoritarian,15,Abdrabbuh Mansur Hadi,President
Malta,MLT,MT,Republic of Malta,Euro,Valletta,Southern Europe,Europe,Maltese,35.83333333,14.58333333,91.1,4.6,320,150.8971631,173.5234188,69.8052684,37.70526488,20956.99945,20956999452,5.09396759,15.0683692,23.37421816,3.125,10.97526598,100,1.466562641,0,0,0,0,92.32540292,7.674597084,98.38148617,97.78846166,9.2,1610.7,228.28561,47.972192,-657.8694897,1.841901567,10.74,3135,4.49,0.09,6.1,2000,,0.499206865,8.1,8,1.15,91.54075982,83,850,264733,288481,553214,27.84810127,27987,525227,2.63,8.21,Full democracy,35.8,Robert Abela,Prime Minister
Mali,MLI,ML,Republic of Mali,West African CFA franc,Bamako,Western Africa,Africa,Malian,17,-4,431310,132960,1220190,1251575.144,1505.018657,,14.50112062,20904.8983,20904898296,2.058802283,85.38099228,14.16453986,3.008,85.09193422,53,,,,,,,,,,71.1,4150.7,23070.48212,15086.90083,3643.578605,0,4.47341442,40.1202507,0.1,0.28,4.1,41000,344000,2.834043671,41.217,8.951,5.867,34.49,59,-39998,11534926,11758772,23293698,28.57142857,12534572,10759126,2.22,5.41,Hybrid regime,11.3,Ibrahim Boubacar Keïta,President
Mozambique,MOZ,MZ,Republic of Mozambique,New Mozambican metical,Maputo,Eastern Africa,Africa,Mozambican,-18.25,35,414138.32,364976.047,786380,775002.468,2943.198864,84.15696646,23.30441894,20624.59785,20624597847,7.126974821,85.12566367,22.74775571,3.535,82.81634705,31.5,9.170196735,0,86.41088736,12.8257922,0,0.763320444,0,-54.60162754,12.61995347,76.9,6945.5,16255.45655,9599.741911,680.8293877,1.311076661,9.05218315,44.52215576,0.7,4,13.6,11000,592000,1.885371695,36.598,8.793,4.644,17.37283681,59,-5000,17262682,16634672,33897354,43.2,20761112,13136242,2.39,3.85,Authoritarian,13.1,Filipe Nyusi,President
Gabon,GAB,GA,Gabonese Republic,Central African CFA franc,Libreville,Middle Africa,Africa,Gabonese,-1,11.75,21532.36,235187.2,257670,263337.7103,311.5999701,,13.51469671,20516.13439,20516134389,3.629015342,33.73059641,9.127472981,20.361,31.30906182,93.5,1.212098875,0,43.17968015,46.04891816,0,10.20696143,0.564440263,-213.4005195,22.78651631,91.3,5349.2,7451.56422,523.122457,1095.79187,7.881841954,2.70633149,233.8710327,6.3,0.83,8.4,7000,,1.257784337,26.803,7.307,3.46,71.74940641,66,1000,1197990,1238576,2436566,24.48979592,218584,2217982,2.2,3.61,Authoritarian,17.8,Ali Bongo Ondimba,President
Burkina Faso,BFA,BF,Burkina Faso,West African CFA franc,Ouagadougou,Western Africa,Africa,Burkinabe,13,-2,127400,61664,273600,273918.352,1599.295142,62.52560943,20.81629236,20324.61784,20324617839,0.742910429,85.6177216,17.67305114,5.293,83.22575578,19.5,,,,,,,,,,71.4,5456.7,15408.27314,10060.67193,2087.929794,0,6.37691164,56.95098114,0.4,0.08,7.5,11000,2063000,3.094767045,34.952,8.662,4.665,21.57982734,60,-24998,11662740,11588745,23251485,16.90140845,15690102,7561383,3.19,4.75,Hybrid regime,13,Roch Marc Christian Kaboré,President
Botswana,BWA,BW,Republic of Botswana,Botswana pula,Gaborone,Southern Africa,Africa,Motswana,-22,24,258620,151364,566730,572887.2314,804.3459935,19.61608146,25.09141855,20321.95885,20321958850,11.66556748,30.94046389,19.648748,23.615,28.67453378,75.9,0.003165806,96.35995956,0,0,0,3.606336367,0.033704078,44.49996466,74.68798407,27.4,5763.687,3434.49382,2963.633551,841.5711288,0,6.30929565,457.4629822,1.8,1.92,16.1,9000,,2.743959563,23.036,6.897,2.754,73.5,66,3000,1331489,1298807,2630296,11.11111111,730591,1899705,3.12,7.81,Flawed democracy,19.7,Mokgweetsi Masisi,President
Mongolia,MNG,MN,Mongolia,Mongolian tugrik,Ulan Bator,Eastern Asia,Asia,Mongolian,46,105,1126312,141716.7,1557507,1549425.131,354.9778717,67.57101432,31.69664868,19872.18037,19872180370,10.34758313,42.29126541,16.90884952,6.134,38.60275781,100,0.259410425,92.74442227,0,0,0,4.171957192,3.083620533,-168.0933932,93.19938283,3,21184.7,18159.40469,14245.8522,-224.2606201,0,6.911304,315.5798035,8,0.01,17.9,18000,,0.60306325,20.447,5.479,2.774,81.60682285,73,-850,1738709,1708447,3447157,17.10526316,1065551,2381606,2.65,6.5,Flawed democracy,23,Khaltmaagiin Battulga,President
Haiti,HTI,HT,Republic of Haiti,Haitian gourde,Port-au-Prince,Caribbean,America,Haitian,19,-72.41666666,17950,3441.9,27560,25688.0683,1326.104126,,,19850.82976,19850829758,36.81351628,74.58229752,,14.623,73.87816299,49.3,0.073973368,0,7.996146435,0,0,92.00385356,0,22.01586996,22.01589404,76.7,3209.04,5203.617218,1533.386585,533.1030884,2.935917466,3.47919273,57.87849426,0.71,0.58,9.6,1000,311000,0.069184225,23.146,8.48,2.773,38.94501834,64,-31811,5919066,5805698,11724763,2.542372881,4730238,6994525,2.7,4.91,Hybrid regime,19.5,Jovenel Moïse,President
Benin,BEN,BJ,Republic of Benin,West African CFA franc,Porto-Novo,Western Africa,Africa,Beninese,9.5,2.25,39500,30851.5,112760,113691.0639,2005.909344,,,19673.28469,19673284686,2.731024653,78.55615702,10.78914255,1.452,77.55623616,56.5,0,0,4.093567251,0,0,94.44444444,1.461988304,46.59070713,36.72458133,54.5,7980.4,4029.619412,3007.644632,1486.290756,6.003195322,2.58129549,35.12914658,0.5,0.11,7.8,12000,8800,0.557461261,36.071,9.323,4.895,33.96533089,60,-200,6842109,6870720,13712828,26.60550459,6842701,6870127,2.46,5.74,Hybrid regime,13.7,Patrice Talon,President
Jamaica,JAM,JM,Jamaica,Jamaican dollar,Kingston,Caribbean,America,Jamaican,18.25,-77.5,4170,6007.733,10830,10006.15649,1022.334202,106.282373,29.82962049,19423.35537,19423355367,6.474137347,38.18063202,25.7094657,4.417,33.9918643,100,0.56970773,0,3.129548763,0,0,89.73799127,7.132459971,82.04251868,80.97134481,10.5,5835.6,825.92789,409.694785,-926.5749512,7.328694311,7.18521214,372.4513855,1.72,0.5,2.4,6000,,1.313372601,11.531,8.787,1.34,82.36071561,71,-10999,1424543,1401001,2825544,28.57142857,1204303,1621241,7.03,7.02,Flawed democracy,27.9,Andrew Holness,Prime Minister
Lebanon,LBN,LB,Lebanese Republic,Lebanese pound,Beirut,Western Asia,Asia,Lebanese,33.83333333,35.83333333,6793,1439.3,10230,8546.202041,1871.968346,128.6412691,6.295711084,17937.25618,17937256175,221.341644,29.80854564,5.684795546,11.565,21.11254022,100,0.523449394,0,2.603826919,0,0,97.39617308,0,97.86553522,97.62110111,6.8,21474.9,3459.013432,846.613935,8086.712158,2.790637631,10.06154442,307.1348572,2.73,,2.8,80000,74000,3.366222464,14.576,8.857,2.08,86.58903046,74,-177331,2758977,2594952,5353930,6.25,565803,4788127,2.41,4.63,Hybrid regime,24.9,Hassan Diab,Prime Minister
Nicaragua,NIC,NI,Republic of Nicaragua,Nicaraguan gold cordoba,Managua,Central America,America,Nicaraguan,13,-85,50910,33075.3,120340,118297.5466,992.8293569,,16.67254984,17829.21528,17829215284,8.387658549,42.92777977,19.84115619,4.795,37.42659197,86.5,3.341749188,0,6.442454684,0,0,49.94540293,43.61214239,40.85937541,40.69539206,50.4,4582.2,9584.807309,3567.365768,574.5526428,0.938935966,9.68343163,198.0779266,0.93,0.08,4.4,12000,1300,0.526472695,20.018,4.655,2.284,57.14684935,75,-8000,3574321,3471990,7046310,51.64835165,2829164,4217146,2.2,3.63,Authoritarian,21.3,Daniel Ortega,President
West Bank and Gaza,PSE,PS,West Bank and Gaza,Israeli new shekel,Ramallah,Western Asia,Asia,Palestinian,31.9,35.2,3912,101.4,6025,4390.870891,1629.720015,,26.16649173,17396.3,17396300000,5.871101777,23.82724554,21.47457602,24.42,18.38047954,100,,,,,,,,,,15.4,,,,,0.192120124,,,1.200000048,,,0,1710000,,27.69,3.854,3.436,88.64690554,73,-5000,2587546,2578229,5165775,,1158063,4007712,1.75,4.39,Hybrid regime,15.6,,
Niger,NER,NE,Republic of Niger,West African CFA franc,Niamey,Western Africa,Africa,Nigerien,16,8,465950,10672.8,1266700,1187981.381,1313.950219,,10.16452856,16819.17042,16819170421,3.700973164,94.0124296,11.7645286,0.55,93.34000102,19.5,0.011918414,41.61958569,0,0,0,57.62711864,0.753295669,-5.809741918,24.06036815,79.6,2197.95,28579.35341,13245.90022,431.5255127,0,5.81452751,34.34204865,0.39,0.06,5.3,10000,347000,1.664378422,45.029,7.834,6.749,22.38613931,62,1000,13405554,13797289,27202843,25.90361446,22563670,4639173,2.67,3.76,Authoritarian,10.6,Mahamadou Issoufou,President
Guyana,GUY,GY,Co-operative Republic of Guyana,Guyana dollar,Georgetown,South America,America,Guyanese,5,-59,10430,184061.333,196850,209904.1444,165.7263754,,,16786.30216,16786302158,2.821103351,34.40706719,,12.43,28.75474026,93,,,,,,,,,0,12.1,2768.5,1846.596396,567.141277,-873.057209,51.98735275,4.94385052,470.5687866,1.71,0.62,40.3,3000,,0.569847555,19.897,9.762,2.369,84.79357266,66,-3900,415010,398825,813834,36.61971831,592780,221054,2.94,6.67,Flawed democracy,22,David A. Granger,President
Moldova,MDA,MD,Republic of Moldova,Moldovan leu,Chișinău,Eastern Europe,Europe,Moldovan,47,29,22750,3865,32970,31803.71496,1576.100252,34.52131787,32.27836595,16539.43655,16539436547,13.41701044,59.13012187,18.94036457,1.623,58.86073815,100,0.767238069,0,5.056640946,94.48366442,0,0.147758989,0.311935643,90.01107669,88.68802224,21.4,8611.2,3287.202022,993.18282,11.22564697,0,7.75,410,5.66,0.34,14.7,6000,,0.315219358,12.148,16.609,1.8,61.28776161,69,-125204,1300763,1186128,2486891,38.61386139,1408252,1078639,2.51,5.85,Hybrid regime,30.7,Ion Chicu,Prime Minister
Madagascar,MDG,MG,Republic of Madagascar,Malagasy ariary,Antananarivo,Eastern Africa,Africa,Malagasy,-20,47,408950,124165.967,581800,588612.8579,1660.585775,,9.95203448,16031.70291,16031702915,9.87432675,88.7541761,9.254487436,3.061,84.77051503,36.1,,,,,,,,,,83.1,2745.45,19021.93937,7665.367879,993.9531326,2.099093406,3.5045228,17.64008904,0.2,0.3,5.5,22000,2800,0.65100397,30.595,6.799,3.791,19.73016812,65,-1500,15135032,15190700,30325732,18.54304636,18026828,12298904,2.82,5.22,Hybrid regime,15.3,Andry Rajoelina,President
Lao PDR,LAO,LA,Lao People's Democratic Republic,Lao kip,Vientiane,South-Eastern Asia,Asia,Laotian,18,105,20310,165610,230800,228354.3777,542.1731935,,10.31602416,15843.15573,15843155731,31.23013417,78.85687625,12.11293278,1.181,78.31256508,100,,,,,,,,,,49.2,19178.9,8011.314315,3143.072183,10918.72398,0,2.74392009,68.87698364,1.5,0.14,5.4,129000,,0.189895182,21.46,6.195,2.448,62,69,-9999,3787131,3846648,7633779,21.95121951,4714088,2919691,1.21,2.37,Authoritarian,20.4,Bounnhang Vorachith,General Secretary of the Communist Party
Congo,COG,CG,Republic of Congo,Central African CFA franc,Brazzaville,Middle Africa,Africa,Congolese,-1,15,106780,219310,341500,340340.844,420.2625751,25.48268447,16.13213896,15321.05582,15321055818,4.301745636,75.76900194,6.509088258,20.054,74.54176345,50.6,1.428713035,0,53.34486736,46.65513264,0,0,0,-496.5979012,40.48060338,71.4,7153.9,9957.260368,1610.016398,-1372.301815,0.711294534,3.87537813,80.5149231,1.6,2.89,6.5,12000,27000,1.847189156,30.175,7.275,4.095,8.65,63,-1000,3056928,3049941,6106869,14.56953642,1881648,4225221,2.17,3.31,Authoritarian,14.4,Denis Sassou Nguesso,President
Brunei,BRN,BN,Brunei Darussalam,Brunei dollar,Bandar Seri Begawan,South-Eastern Asia,Asia,Bruneian,4.5,114.6666667,134,3800,5270,5571.881756,199.1723685,,,15128.29295,15128292954,0.357064312,7.861436548,,5.27,5.343156839,100,0.004839668,0,0,98.95238095,0,1,0.047619048,-357.3943792,99.99518847,0,9588,1538.873884,137.896432,-902.1264572,13.93751494,2.20486665,693.4055786,2.85,,2.7,8000,,2.369647407,13.493,5.431,1.764,98.08,75,0,218629,233894,452524,11.76470588,94356,358168,1.52,0,Unknown,28.7,Hassanal Bolkiah,Sultan and Prime Minister
North Macedonia,MKD,MK,Republic of North Macedonia,Macedonian denar,Skopje,Southern Europe,Europe,Macedonian,41.83333333,22,12600,10014.9,25220,23681.03685,701.2678632,,33.32972328,14761.23704,14761237042,9.361872498,16.54114502,17.39296314,13.075,12.45686369,100,5.529381747,58.35990081,33.03223521,3.241232731,0,2.461919943,2.9047113,51.77099874,79.42591466,19.5,6796.7,2369.77411,546.642517,-1436.731537,0,8.52,560,4.28,0.03,9.4,16000,110,1.6053429,9.9,12.3,1.6,83.01821027,74,-1000,909019,902961,1811980,42.5,734232,1077748,2.47,5.87,Hybrid regime,34.9,Oliver Spasovski,President
Afghanistan,AFG,AF,Islamic State of Afghanistan,Afghan afghani,Kabul,Southern Asia,Asia,Afghan,33,65,383130,12084.4,652230,636173.2292,3993.836107,,39.22010998,14502.15819,14502158192,2.302372515,81.74065362,9.898450897,14.386,80.12045445,85.3,,,,,,,,,,20,8709.47,16222.03596,4863.386801,-1800.003578,0,21.82794952,81.31976318,0.39,0.03,4.1,165000,4187000,1.827933856,35.143,6.906,4.523,18.4,63,-65846,20920159,21319695,42239854,27.01612903,30863394,11376460,2.14,2.97,Authoritarian,13.1,Ashraf Ghani,President
Mauritius,MUS,MU,Republic of Mauritius,Mauritian rupee,Port Louis,Eastern Africa,Africa,Mauritian,-20.28333333,57.55,860,388.1,1997,1523.755108,475.8035424,57.96166043,28.2113424,14397.12728,14397127281,7.052982385,17.80827035,19.05049773,6.057,15.03850211,100,0.804578466,39.43943944,4.070737404,0,0,37.83783784,18.65198532,84.54228895,84.5423603,8.6,3720.2,1973.725821,221.869467,1217.692702,1.186912728,6.39258909,564.9007568,3.4,,9.5,3000,,0.166673188,9.6,10.2,1.32,67.58,74,0,639687,621354,1261041,20,745691,515350,2.75,8.22,Full democracy,33.4,Pravind Jugnauth,Prime Minister
The Bahamas,BHS,BS,Commonwealth of The Bahamas,Bahamian dollar,Nassau,Caribbean,America,Bahamian,24.25,-76,130,5098.6,10010,12279.91847,203.7442433,82.15955396,23.61703933,14338.5,14338500000,3.05291579,16.67304104,16.42954833,9.198,15.74393657,100,,,,,,,,,0,1.1,2456,223.17922,33.819566,-2144.246589,4.037678044,7.13872051,1961.677856,2.96,0.15,3.5,2000,,,11.379,7.298,1.38,94.29380729,74,1000,215761,196863,412623,17.94871795,67567,345056,0,0,Unknown,29.2,Hubert Minnis,Prime Minister
Rwanda,RWA,RW,Republic of Rwanda,Rwandan franc,Kigali,Eastern Africa,Africa,Rwandan,-2,30,20044.6,2770,24670,22337.27207,1506.225743,48.42897426,21.52992291,14097.76865,14097768648,19.78954675,63.99705474,15.07446844,14.932,63.95390102,50.6,,,,,,,,,,79.9,1382,2680.924714,2006.21099,-173.0873795,0,7.32305002,60.2185936,1.6,0.24,5.6,35000,,1.449956361,29.474,5.847,3.749,30.46181693,67,-8999,7193422,6901261,14094683,61.25,11572862,2521821,1.49,3.35,Authoritarian,15.4,Paul Kagame,President
Malawi,MWI,MW,Republic of Malawi,Malawi kwacha,Lilongwe,Eastern Africa,Africa,Malawian,-13.5,34,60500,21997,94280,93702.75745,770.8614489,52.63324146,19.09766888,14084.34106,14084341062,28.78974282,61.40374035,12.7834867,5.044,60.31194433,14,,,,,,,,,,62.9,1640,4389.696958,5054.858381,174.4018936,0,7.41194487,46.55551147,1.3,0.81,5.4,15000,,0.63629316,32.611,6.934,3.849,24.40560063,63,-6000,10747253,10184498,20931751,20.7253886,17105427,3826324,2.66,5.49,Hybrid regime,13.3,Peter Mutharika,President
Kyrgyz Republic,KGZ,KG,Kyrgyz Republic,Kyrgyz som,Bishkek,Central Asia,Asia,Kirghiz,41,75,103661,13336.2,191800,186901.2745,2136.338096,47.08548054,23.83194582,13987.62791,13987627909,10.75327704,33.09132756,19.54197945,4.038,31.64600654,99.7,22.71258307,13.21565618,85.18802763,1.304681504,0,0.291634689,0,49.54466148,75.47621896,27.6,9080.1,4864.996701,2016.200505,2918.215759,0,5.44,73,4.41,0.11,7.4,21000,4000,1.47880865,21.5,4.5,2.8,77.92035931,72,-9999,3614913,3485887,7100800,20,4416627,2684173,2.61,5.11,Hybrid regime,19.9,Mukhammedkalyi Abylgaziev,Prime Minister
Chad,TCD,TD,Republic of Chad,Central African CFA franc,N'Djamena,Middle Africa,Africa,Chadian,15,19,503380,42013.333,1259200,1272923.572,948.8241376,,,13149.32536,13149325359,10.83635684,90.88440413,,1.082,89.717149,11.7,,,,,,,,,,70,1568.4,59438.92298,27724.59116,-70.94107819,0,5.19022274,35.63117981,0.4,0.22,6.4,45000,452000,2.925486842,43.184,12.157,6.215,17.8688792,53,-2000,9104070,9174497,18278568,25.88832487,13824812,4453756,2.13,1.61,Authoritarian,11.2,Idriss Déby,President
Namibia,NAM,NA,Republic of Namibia,Namibian dollar,Windhoek,Southern Africa,Africa,Namibian,-22,17,388120,65678.9,823290,827174.2883,342.3176144,117.5152611,35.7240408,12351.02484,12351024844,5.879934633,39.00450281,27.17154832,19.422,32.48955603,56.2,17.78533229,0.455729167,97.78645833,0,0,1.7578125,0,74.44166879,66.71909083,30,3952.8,5335.779671,3921.065876,708.1697083,0.112413478,9.38092136,456.4360046,2.7,2.39,9.7,16000,,3.004313772,26.921,11.457,3.248,52.9734788,58,-3916,1347919,1256253,2604172,44.23076923,1174846,1429326,4.13,6.25,Flawed democracy,17.4,Hage Geingob,President
Equatorial Guinea,GNQ,GQ,Republic of Equatorial Guinea,Central African CFA franc,Malabo,Middle Africa,Africa,Equatorial Guinean,2,10,1049.2,24400.6,28050,26898.23531,136.7343442,,11.20978627,12116.92254,12116922539,4.786717047,86.58587219,6.694218808,8.666,77.96717836,67,,,,,,,,,0,4.2,4350.4,4778.315427,33.339292,3703.62859,4.902126725,3.40450907,255.5652466,2.1,2.94,7.9,1000,,1.097262085,29.865,8.708,4.17,53.92240217,61,4000,810713,903958,1714671,31,438133,1276538,1.34,1.92,Authoritarian,16.7,Teodoro Obiang Nguema Mbasogo,President
Tajikistan,TJK,TJ,Republic of Tajikistan,Tajik somoni,Dushanbe,Central Asia,Asia,Tadzhik,39,71,49170,4248,138790,134045.209,3745.362281,79.80407988,10.69107156,12060.60201,12060602009,6.004580823,27.15169537,10.34427934,6.981,23.59210717,100,37.48194947,1.526628598,98.4733714,0,0,0,0,36.24549558,45.98414186,34.9,9328.8,5520.881442,2431.16213,260.243103,0,8.01,73,4.67,0.1,4.3,17000,,1.016129755,26.025,4.695,3.141,21.96,71,-19999,5038700,5104843,10143543,26.98412698,7279615,2863928,1.45,1.93,Authoritarian,17.8,Emomali Rahmon,President
South Sudan,SSD,SS,Republic of South Sudan,South Sudanese Pound,Juba,Middle Africa,Africa,South Sudanese,7,30,282527,71570,631930,623624.9877,666.3547216,,,11997.80076,11997800760,2.382804348,88.90572107,,12.271,87.72503304,8.4,0.024563288,0,0,0,0,99.39393939,0.606060606,-1058.120023,72.22263478,32.4,1742.7,32385.92039,21818.26039,,0,5.86061621,32.67995834,,0.79,3.9,53000,1121000,3.021078043,28.857,10.745,4.337,6.5,56,-23291,5594895,5493900,11088796,32.36363636,8738526,2350270,1.71,0,Unknown,12.8,Salva Kiir Mayardit,President
Somalia,SOM,SO,Somali Democratic Republic,Somali shilling,Mogadishu,Eastern Africa,Africa,Somali,10,49,441290,59032.5,627340,635102.2238,1451.274762,,0.000199408,11679.80011,11679800110,,51.22585204,5.89E-05,19.027,45.12207207,48.9,,,,,,,,,,95.4,660.4,18752.05737,6548.950079,-368.4417033,2.678315201,,,0.87,,7.9,14000,3862000,1.529992136,43.086,11.012,6.202,2.004048698,56,-30000,9046859,9096520,18143378,19.7080292,9449071,8694307,1.37,0,Unknown,11.4,Hassan Ali Khayre,Prime Minister
Mauritania,MRT,MR,Islamic Republic of Mauritania,Mauritanian ouguiya,Nouakchott,Western Africa,Africa,Mauritanian,20,-12,397100,3073.667,1030700,1045547.794,373.5388786,,,10452.57706,10452577063,4.953050345,73.01902507,,10.512,65.94654566,49,,,,,,,,,,19.6,3847.1,6896.748571,3273.335787,275.6549759,19.53979513,4.12218571,89.28845215,0.4,0.12,3.1,21000,,2.273963409,32.953,7.203,4.342,58.75818983,65,3000,2478273,2384716,4862989,23.29545455,2057093,2805896,2.47,3.82,Authoritarian,14,Mohamed Ould Ghazouani,President
Togo,TGO,TG,Republic of Togo,West African CFA franc,Lomé,Western Africa,Africa,Togolese,8,1.16666666,38200,12063.1,54390,56198.45264,895.2206286,,16.15557542,9171.261835,9171261835,7.967573616,75.02660555,14.18756208,2.048,70.71894187,57.2,2.406003709,0,69.13580247,0,0,24.69135802,6.172839506,19.97162295,17.80063303,75.1,2415.1,3039.881913,1943.654467,688.4535789,0.98171171,5.55532026,54.14671707,0.7,0.28,8.8,10000,18000,5.441922623,31.48,8.213,4.196,34.98405528,62,-2000,4501907,4551892,9053799,19.78021978,5025764,4028035,2.63,3.1,Authoritarian,14.9,Faure Gnassingbé,President
Syrian Arab Republic,SYR,SY,Syrian Arab Republic,Syrian pound,Damascus,Western Asia,Asia,Syrian,35,38,139133.76,5220.8,183630,180422.9231,5092.250182,,,8980.060819,8980060819,36.70229534,36.70044235,,13.544,35.36634434,89,1.350828722,0,2.309714222,68.62591578,0,29.06437,0,47.833735,97.79178143,1.1,25234.6,15963.67267,3263.58976,-9394.695557,0.313801402,3.04719615,63.13696671,1.4,0.01,2,269000,7248000,4.056141736,20.531,5.047,2.704,35.78,72,757103,11601649,11625364,23227014,10.8,9892618,13334396,1.09,1.43,Authoritarian,18.4,Bashar al-Assad,President
Monaco,MCO,MC,Principality of Monaco,Euro,Monaco,Western Europe,Europe,Monegasque,43.73333333,7.4,,0,2.084,0.034954518,2.776532966,,,8784.002932,8784002932,,,,,,100,,,,,,,,,,,,,,,7.298734584,3.68486166,8634.259766,13.8,,,,,,5.9,6.6,,86.09548575,,200,18515,17783,36297,45.83333333,0,36297,0,0,Unknown,50.3,Albert II,Sovereign Prince
Montenegro,MNE,ME,Montenegro,Euro,Podgorica,Southern Europe,Europe,Montenegrin,42.5,19.3,2555.6,8270,13450,13146.802,294.6491995,,,7404.541965,7404541965,8.584769105,21.05652059,,15.254,17.11661326,100,12.95729602,50.34965035,49.65034965,0,0,0,0,27.5691369,64.664697,39.6,2527.2,783.237121,150.663183,,2.761045872,10.55,985,3.86,0.02,21,12000,,1.607464952,11.4,11.5,1.8,88.22192026,76,-480,316201,299975,616177,20.98765432,194083,422094,2.39,5.74,Hybrid regime,34.7,Duško Marković,Prime Minister
Liechtenstein,LIE,LI,Principality of Liechtenstein,Swiss franc,Vaduz,Western Europe,Europe,Liechtensteiner,47.26666666,9.53333333,51.7,67,160,117.014356,38.35595065,,,7364.654515,7364654515,,,,,,100,,,,,,,,,,56.9,141.996093,2.588257,0.870988,,0,,,,,,,,,9.2,7.1,1.47,95.56937637,84,150,19942,19643,39584,28,33798,5786,3.82,0,Unknown,40.2,Hereditary Prince Alois,Regent
Maldives,MDV,MV,Republic of Maldives,Maldivian rufiyaa,Malé,Southern Asia,Asia,Maldivan,3.25,73,59,8.2,300,259.6535489,14.35453059,57.29812061,29.46482122,6600,6600000000,2.333143376,22.19442072,19.4461808,4.127,19.33661338,100,,,,,,,,,0,1.2,1454,137.66522,9.21871,736.9852789,18.15468506,10.03,1039,4.3,0.01,2.7,5000,,,13.638,2.777,1.678,85.76058262,81,-8652,222431,298591,521021,4.597701149,302343,218678,2.43,0,Unknown,28,Ibrahim Mohamed Solih,President
Barbados,BRB,BB,Barbados,Barbados dollar,Bridgetown,Caribbean,America,Barbadian,13.16666666,-59.53333333,100,63,430,248.5273247,187.5880811,146.4600534,33.69759885,6393.56419,6393564190,9.792070771,20.45562233,27.39118473,7.954,19.96299667,100,,,,,,,,,0,5.5,1096.07,2359.570952,38.47874,-101.4472923,1.846753849,8.09043312,1400.435791,5.97,0.21,0.6,1000,,,10.783,9.114,1.634,85.82,78,-80,146710,135285,281995,26.66666667,193378,88617,0,0,Unknown,35.6,Mia Mottley,Prime Minister
Fiji,FJI,FJ,Republic of Fiji,Fijian dollar,Suva,Melanesia,Oceania,Fijian,-18,175,3116,11467,18270,18883.78571,117.2567813,36.62825932,34.55921804,5494.797541,5494797541,4.520192664,31.47609341,15.87420981,4.327,30.32131155,92,,,,,,,,,0,28.4,1028.2,443.648987,191.232612,106.8068142,3.486032443,5.38085365,250.0255432,2,0.33,9,4000,,1.395813198,19.131,8.235,2.462,87.65996651,68,-3289,466885,469490,936375,10.90909091,386601,549774,2.88,5.85,Hybrid regime,23.2,Frank Bainimarama,Prime Minister
